Leq( Avg),total vehicles,2W,3W,4w,HV,Distance of residents from the road,Age,Health Hazards,,,,,,,,,,,
88.9,626,421,77,105,23,15.614,3,2,,,,,,,,,,,
78.18,580,396,56,109,19,22.554,5,3,,,,,,,,,,,
91.3,808,555,78,160,15,41.284,1,5,,,,,,,,,,,
82.05,777,599,60,95,23,273.314,2,5,,,,,,,,,,,
85.2,658,510,51,89,8,299.724,3,4,,,,,,,,,,,
88.9,782,608,73,80,21,196.284,4,2,,,,,,,,,,,
78.76,747,544,55,126,22,272.404,3,1,,,,,,,,,,,
88.9,656,497,77,55,27,298.814,2,4,,,,,,,,,,,
82.4,876,727,56,73,20,195.374,4,2,,,,,,,,,,,
96.7,560,390,78,72,20,321.374,2,5,,,,,,,,,,,
92.1,583,409,60,93,21,15.674,3,5,,,,,,,,,,,
79,809,624,51,109,25,11.624,4,3,,,,,,,,,,,
89.38,751,539,65,131,16,14.894,3,5,,,,,,,,,,,
80.76,645,427,68,130,20,21.434,2,5,,,,,,,,,,,
90.6,637,402,78,131,26,17.644,2,2,,,,,,,,,,,
87.6,742,561,65,101,15,298.56,2,3,,,,,,,,,,,
79,779,605,59,98,17,195.12,5,3,,,,,,,,,,,
89,746,516,90,123,17,196.804,3,5,,,,,,,,,,,
84.2,794,614,43,121,16,322.804,2,4,,,,,,,,,,,
100.4,719,559,47,98,15,17.104,2,5,,,,,,,,,,,
86.6,772,590,63,102,17,13.054,3,5,,,,,,,,,,,
80.59,823,616,72,116,19,16.324,4,2,,,,,,,,,,,
97,778,531,76,157,14,22.864,2,1,,,,,,,,,,,
85.2,596,419,58,102,17,19.074,3,3,,,,,,,,,,,
97.86,574,394,80,84,16,299.99,2,5,,,,,,,,,,,
89.2,891,721,59,87,24,196.55,3,1,,,,,,,,,,,
80.6,614,384,81,126,23,322.55,3,3,,,,,,,,,,,
88.38,544,403,63,60,18,16.85,2,4,,,,,,,,,,,
81.5,767,618,54,76,19,320.88,2,5,,,,,,,,,,,
82.3,705,533,76,75,21,15.18,4,4,,,,,,,,,,,
87.4,599,421,58,96,24,11.13,3,2,,,,,,,,,,,
80.2,596,396,80,102,18,14.4,3,4,,,,,,,,,,,
95.5,754,555,59,124,16,20.94,2,5,,,,,,,,,,,
82.4,822,599,81,116,26,17.15,3,2,,,,,,,,,,,
94.5,712,510,63,126,13,298.066,3,3,,,,,,,,,,,
90.56,766,608,54,90,14,194.626,2,5,,,,,,,,,,,
77.8,726,544,68,104,10,40.134,2,4,,,,,,,,,,,
95.5,708,497,71,120,20,16.124,4,2,,,,,,,,,,,
