Leq( Avg),total vehicles,2W,3W,4w,HV,Distance of residents from the road,Age,Health Hazards,,,,,,,,,,,
94.2,792,591,127,55,19,16,3,2,,,,,,,,,,,
79.46,819,601,125,71,22,47.8,5,3,,,,,,,,,,,
86.03,753,512,164,62,15,36.66,1,5,,,,,,,,,,,
96.5,903,610,182,95,16,11.9,2,5,,,,,,,,,,,
80.03,829,555,154,101,19,66.59,3,4,,,,,,,,,,,
80.5,879,586,138,130,25,69.11,4,2,,,,,,,,,,,
84.2,808,607,127,59,15,66.81,3,1,,,,,,,,,,,
80.8,816,552,177,77,10,70.55,2,4,,,,,,,,,,,
92.1,651,406,149,75,21,15.85,4,2,,,,,,,,,,,
89.5,872,621,133,110,8,14.99,2,5,,,,,,,,,,,
77.1,777,536,122,110,9,16.93,3,5,,,,,,,,,,,
82.7,662,424,120,98,20,28.78,4,3,,,,,,,,,,,
88.3,736,399,159,161,17,63.71,3,5,,,,,,,,,,,
90.4,882,558,178,125,21,10.24,2,5,,,,,,,,,,,
89.6,892,602,150,127,13,10.17,2,2,,,,,,,,,,,
78.4,803,513,134,142,14,11.83,2,3,,,,,,,,,,,
89.1,933,611,175,126,21,6.91,5,3,,,,,,,,,,,
82.6,848,556,133,134,25,24,3,5,,,,,,,,,,,
90.8,884,587,161,115,21,37.45,4,2,,,,,,,,,,,
84.59,951,613,180,136,22,10.42,3,2,,,,,,,,,,,
76.3,828,528,152,129,19,5.17,3,3,,,,,,,,,,,
88.7,706,416,136,134,20,11.17,2,5,,,,,,,,,,,
80.3,626,391,125,93,17,12.83,2,4,,,,,,,,,,,
93.7,808,550,123,115,20,7.91,2,3,,,,,,,,,,,
89.7,893,594,162,122,15,25,3,5,,,,,,,,,,,
82.02,857,505,180,151,21,38.45,4,3,,,,,,,,,,,
85.35,879,602,152,104,21,11.42,1,5,,,,,,,,,,,
82.1,727,513,136,57,21,11.69,2,4,,,,,,,,,,,
86.2,830,611,125,72,22,11.62,2,5,,,,,,,,,,,
88.7,812,556,175,65,16,13.28,2,4,,,,,,,,,,,
83.4,849,587,147,96,19,8.36,2,3,,,,,,,,,,,
82.4,837,585,131,97,24,25.45,4,2,,,,,,,,,,,
84.6,826,559,120,128,19,38.9,3,5,,,,,,,,,,,
90,806,603,118,62,23,11.87,2,4,,,,,,,,,,,
97.1,745,514,139,78,14,6.62,2,2,,,,,,,,,,,
85,823,612,128,69,14,12.62,3,5,,,,,,,,,,,
92.3,809,557,126,102,24,14.28,4,5,,,,,,,,,,,
89.6,889,588,165,110,26,9.36,3,5,,,,,,,,,,,
92.5,919,598,183,116,22,26.45,3,4,,,,,,,,,,,
94.6,846,509,155,160,22,39.9,4,5,,,,,,,,,,,
80.1,820,607,83,106,24,12.87,3,4,,,,,,,,,,,
84.5,785,552,77,127,29,7.62,5,3,,,,,,,,,,,
80,819,583,67,152,17,16.67,1,1,,,,,,,,,,,
91.08,845,604,89,136,16,48.47,2,5,,,,,,,,,,,
82.18,771,549,71,141,10,10.01,2,1,,,,,,,,,,,
82.3,592,403,62,112,15,4.76,5,4,,,,,,,,,,,
91.3,802,598,76,115,13,16.21,4,4,,,,,,,,,,,
89.6,713,509,81,111,12,48.01,3,5,,,,,,,,,,,
96.7,841,606,63,160,12,36.87,2,5,,,,,,,,,,,
93.7,703,517,54,113,19,12.11,2,4,,,,,,,,,,,
76.9,783,615,68,79,21,66.8,5,3,,,,,,,,,,,
84.9,746,560,71,92,23,71.81,2,5,,,,,,,,,,,
83.15,805,591,81,116,17,13.07,3,5,,,,,,,,,,,
86.5,779,589,68,108,14,12.21,4,5,,,,,,,,,,,
87.2,804,563,62,158,21,14.15,3,4,,,,,,,,,,,
76.93,833,607,93,111,22,26,3,3,,,,,,,,,,,
83.53,704,518,46,122,18,60.93,4,3,,,,,,,,,,,
82.6,818,616,50,138,14,7.46,1,4,,,,,,,,,,,
83.7,2843,2209,258,353,23,12.85,1,5,,,,,,,,,,,
86.7,3288,2284,335,643,26,14.4,2,5,,,,,,,,,,,
80.28,2784,1940,280,544,20,37,3,4,,,,,,,,,,,
88.38,2402,1872,220,300,10,45.6,4,2,,,,,,,,,,,
87.7,2255,1573,246,417,19,40.2,3,1,,,,,,,,,,,
82.3,2100,1628,192,263,17,9.45,2,4,,,,,,,,,,,
72,2844,2207,259,354,24,13.71,4,2,,,,,,,,,,,
80.76,3289,2282,336,644,27,67.61,2,5,,,,,,,,,,,
87.54,2785,1938,281,545,21,5.7,3,5,,,,,,,,,,,
82.7,2403,1870,221,301,11,16.75,4,3,,,,,,,,,,,
84.9,2256,1571,247,418,20,65.4,3,5,,,,,,,,,,,
95.5,2101,1626,193,264,18,28.39,2,5,,,,,,,,,,,
88.7,2845,2205,260,355,25,12.6,2,2,,,,,,,,,,,
97.86,3290,2280,337,645,28,7.87,2,3,,,,,,,,,,,
96,2786,1936,282,546,22,107.72,4,5,,,,,,,,,,,
81.4,2416,1868,222,302,24,95.85,3,4,,,,,,,,,,,
82.4,2254,1569,248,419,18,142.95,3,2,,,,,,,,,,,
80.76,2091,1624,194,265,8,11.9,2,4,,,,,,,,,,,
85.1,3194,2203,333,641,17,6.35,2,3,,,,,,,,,,,
89.2,3113,2278,278,542,15,53.75,4,5,,,,,,,,,,,
82.3,2819,2281,218,298,22,5.98,2,5,,,,,,,,,,,
77.21,2621,1937,244,415,25,96.26,3,2,,,,,,,,,,,
79,2339,1869,190,261,19,103.68,3,3,,,,,,,,,,,
90.56,2188,1570,257,352,9,15.94,3,5,,,,,,,,,,,
82.3,2619,1625,334,642,18,38.54,4,3,,,,,,,,,,,
82.3,3047,2204,279,543,21,47.14,1,5,,,,,,,,,,,
84.1,2808,2279,219,299,11,41.74,2,4,,,,,,,,,,,
82.4,2616,1935,245,416,20,10.99,2,3,,,,,,,,,,,
89.93,2338,1867,191,262,18,15.25,2,4,,,,,,,,,,,
80.76,2204,1568,258,353,25,69.15,4,2,,,,,,,,,,,
78.51,2473,1623,281,541,28,7.24,3,5,,,,,,,,,,,
81.5,2476,1936,221,297,22,18.29,2,4,,,,,,,,,,,
93.43,2541,1868,247,414,12,66.94,2,5,,,,,,,,,,,
99.45,2034,1569,193,260,12,29.93,3,5,,,,,,,,,,,
81,2256,1624,260,351,21,14.14,2,4,,,,,,,,,,,
80.59,3200,2203,337,641,19,9.41,3,3,,,,,,,,,,,
83.46,3128,2278,282,542,26,34.6,4,5,,,,,,,,,,,
85.1,2483,1934,222,298,29,43.2,3,3,,,,,,,,,,,
88.38,2552,1866,248,415,23,37.8,3,3,,,,,,,,,,,
87.4,2035,1567,194,261,13,7.05,2,4,,,,,,,,,,,
80.59,2257,1622,261,352,22,11.31,2,3,,,,,,,,,,,
99.45,3201,2201,338,642,20,65.21,4,4,,,,,,,,,,,
89.6,3129,2276,283,543,27,8.3,2,3,,,,,,,,,,,
97.86,2484,1932,223,299,30,14.35,4,5,,,,,,,,,,,
90.56,2579,1864,280,416,19,63,3,2,,,,,,,,,,,
80.59,2360,1869,220,262,9,25.99,2,2,,,,,,,,,,,
80.2,2472,1570,246,638,18,10.2,2,5,,,,,,,,,,,
77.8,2372,1625,192,539,16,5.47,3,2,,,,,,,,,,,
87.54,2853,2204,331,295,23,105.32,5,3,,,,,,,,,,,
80.18,2993,2279,276,412,26,8.1,1,5,,,,,,,,,,,
81.2,2472,1935,216,301,20,14.84,2,5,,,,,,,,,,,
83,2549,1867,242,418,22,68.74,3,4,,,,,,,,,,,
79.5481,2036,1568,188,264,16,6.83,4,2,,,,,,,,,,,
87,2239,1623,255,355,6,17.88,3,1,,,,,,,,,,,
80.18,3194,2202,332,645,15,66.53,2,4,,,,,,,,,,,
78.51,3168,2277,332,546,13,29.52,4,2,,,,,,,,,,,
83.1,2226,1627,277,302,20,13.73,2,5,,,,,,,,,,,
85.46,2862,2206,217,419,20,9,3,5,,,,,,,,,,,
97.86,2812,2281,243,265,23,108.85,4,3,,,,,,,,,,,
94,2499,1937,189,356,17,96.98,3,5,,,,,,,,,,,
90.56,2778,1869,256,646,7,144.08,2,5,,,,,,,,,,,
83.87,2466,1570,333,547,16,15.05,2,2,,,,,,,,,,,
77.8,2333,1625,278,416,14,63.7,2,3,,,,,,,,,,,
79,2705,2204,218,262,21,26.69,5,3,,,,,,,,,,,
100.4,2900,2279,244,353,24,10.9,3,5,,,,,,,,,,,
77.21,2781,1935,190,643,13,6.17,4,2,,,,,,,,,,,
85.403,2743,1867,329,544,3,106.02,3,2,,,,,,,,,,,
85.46,2172,1568,274,300,30,94.15,3,3,,,,,,,,,,,
85.58,2278,1623,214,417,24,141.25,2,5,,,,,,,,,,,
88,2818,2202,339,263,14,10.2,2,4,,,,,,,,,,,
80.59,2863,2202,284,354,23,5.7,2,3,,,,,,,,,,,
94.3,3166,2277,224,644,21,52.05,3,5,,,,,,,,,,,
85.46,2756,1933,250,545,28,6.7,4,3,,,,,,,,,,,
88.87,2393,1865,196,301,31,94.56,1,5,,,,,,,,,,,
93.2,2339,1566,335,418,20,101.98,2,4,,,,,,,,,,,
80.76,2175,1621,280,264,10,14.24,2,3,,,,,,,,,,,
87.54,2982,2200,220,543,19,36.84,2,4,,,,,,,,,,,
85.1,2837,2275,246,299,17,45.44,4,2,,,,,,,,,,,
89.5,2563,1931,192,416,24,40.04,3,5,,,,,,,,,,,
94,2399,1863,259,262,15,48.39,2,4,,,,,,,,,,,
80.59,2277,1564,336,353,24,42.99,2,5,,,,,,,,,,,
95.5,2565,1619,281,643,22,12.24,3,5,,,,,,,,,,,
81.5,2992,2198,221,544,29,16.5,2,4,,,,,,,,,,,
84.2,2852,2273,247,300,32,70.4,3,3,,,,,,,,,,,
85.2,2907,2276,193,417,21,8.49,4,5,,,,,,,,,,,
76.97,2466,1932,260,263,11,19.54,3,3,,,,,,,,,,,
89,2783,1864,260,639,20,68.19,3,3,,,,,,,,,,,
88.7,2406,1565,283,540,18,31.18,2,4,,,,,,,,,,,
92.7,2164,1620,223,296,25,15.39,2,3,,,,,,,,,,,
85.46,2889,2199,249,413,28,10.66,4,4,,,,,,,,,,,
80.59,3134,2274,195,643,22,35.85,2,3,,,,,,,,,,,
83.7,2760,1930,262,544,24,44.45,4,5,,,,,,,,,,,
79,2856,2199,339,300,18,39.05,3,2,,,,,,,,,,,
100.4,2992,2274,284,417,17,8.3,2,2,,,,,,,,,,,
85.2,2441,1930,224,263,24,12.56,2,5,,,,,,,,,,,
80.59,2493,1862,250,354,27,66.46,3,2,,,,,,,,,,,
83.7,2424,1563,196,644,21,9.55,5,3,,,,,,,,,,,
80.5,2437,1618,263,545,11,15.6,3,5,,,,,,,,,,,
85.58,2858,2197,340,301,20,64.25,4,2,,,,,,,,,,,
90.56,2993,2272,285,418,18,27.24,3,2,,,,,,,,,,,
81.2,2442,1928,225,264,25,11.45,3,3,,,,,,,,,,,
82.8,2810,1860,282,640,28,6.72,4,5,,,,,,,,,,,
82.05,2645,1865,222,541,17,106.57,1,4,,,,,,,,,,,
86.6,2118,1566,248,297,7,9.35,2,5,,,,,,,,,,,
89.38,2245,1621,194,414,16,16.09,2,4,,,,,,,,,,,
82.3,2669,2200,195,260,14,69.99,3,3,,,,,,,,,,,
78.18,2909,2275,262,351,21,8.08,4,5,,,,,,,,,,,
85.6,2939,1931,339,641,28,19.13,3,2,,,,,,,,,,,
90.2,2706,1863,284,542,17,67.78,5,4,,,,,,,,,,,
82.4,2060,1564,224,265,7,30.77,4,2,,,,,,,,,,,
80.59,2241,1619,250,356,16,108.07,1,4,,,,,,,,,,,
86.7,3054,2198,196,646,14,96.2,2,3,,,,,,,,,,,
80.76,3104,2273,263,547,21,143.3,2,4,,,,,,,,,,,
92.7,2278,1623,340,303,12,14.27,4,2,,,,,,,,,,,
96,2928,2202,285,420,21,62.92,5,3,,,,,,,,,,,
82.3,2787,2277,225,266,19,25.91,2,2,,,,,,,,,,,
82.4,2567,1933,251,357,26,10.12,2,5,,,,,,,,,,,
80.76,2738,1865,197,647,29,5.39,2,2,,,,,,,,,,,
99.4,2468,1566,336,548,18,105.24,3,3,,,,,,,,,,,
84.9,2214,1621,281,304,8,93.37,4,3,,,,,,,,,,,
80.59,2859,2200,221,421,17,140.47,1,4,,,,,,,,,,,
77.21,2804,2275,247,267,15,9.42,2,5,,,,,,,,,,,
80.5,2789,1931,193,643,22,4.92,2,4,,,,,,,,,,,
85.58,2692,1863,260,544,25,51.27,2,3,,,,,,,,,,,
85.2,2220,1564,337,300,19,5.92,4,2,,,,,,,,,,,
80.59,2339,1619,282,417,21,93.78,3,5,,,,,,,,,,,
87.4,2698,2198,222,263,15,65.66,2,4,,,,,,,,,,,
80.6,2814,2198,248,354,14,8.75,2,2,,,,,,,,,,,
87.54,3132,2273,194,644,21,14.8,3,5,,,,,,,,,,,
89.2,2759,1929,261,545,24,63.45,4,5,,,,,,,,,,,
82.1,2464,1861,284,301,18,26.44,3,5,,,,,,,,,,,
97,2927,2277,224,418,8,10.65,3,4,,,,,,,,,,,
85.6,2464,1933,250,264,17,5.92,4,5,,,,,,,,,,,
82.3,2431,1865,196,355,15,105.77,3,4,,,,,,,,,,,
92.5,2394,1566,263,543,22,8.55,5,3,,,,,,,,,,,
81.2,2285,1621,340,299,25,15.29,1,1,,,,,,,,,,,
86.7,2915,2200,285,416,14,69.19,2,5,,,,,,,,,,,
80.76,2766,2275,225,262,4,7.28,2,1,,,,,,,,,,,
97.86,2895,2278,251,353,13,18.33,5,4,,,,,,,,,,,
89.2,2561,1934,197,419,11,66.98,4,4,,,,,,,,,,,
80.59,2413,1866,264,265,18,29.97,3,5,,,,,,,,,,,
77.21,2289,1567,341,356,25,14.18,2,5,,,,,,,,,,,
82.8,2568,1622,286,646,14,9.45,2,4,,,,,,,,,,,
88.38,2978,2201,226,547,4,109.3,5,3,,,,,,,,,,,
80.18,2875,2276,283,303,13,97.43,2,5,,,,,,,,,,,
77.43,2700,1932,337,420,11,144.53,3,5,,,,,,,,,,,
95.5,2430,1864,282,266,18,15.5,4,5,,,,,,,,,,,
80.6,2341,1565,222,545,9,64.15,3,4,,,,,,,,,,,
90.2,2187,1620,248,301,18,27.14,3,3,,,,,,,,,,,
85.2,2827,2199,194,418,16,11.35,4,3,,,,,,,,,,,
87.67,2747,2199,261,264,23,6.62,1,4,,,,,,,,,,,
78.18,2993,2274,338,355,26,106.47,2,2,,,,,,,,,,,
83.42,2873,1930,283,645,15,94.6,2,4,,,,,,,,,,,
77.9564,2636,1862,223,546,5,141.7,4,5,,,,,,,,,,,
79.4,2874,2278,280,302,14,10.65,1,1,,,,,,,,,,,
80.59,2585,1934,220,419,12,6.15,2,5,,,,,,,,,,,
86.7,2396,1866,246,265,19,52.5,5,4,,,,,,,,,,,
80.76,2422,1567,192,641,22,7.15,2,5,,,,,,,,,,,
97.86,2373,1622,193,542,16,95.01,3,5,,,,,,,,,,,
89.2,3118,2201,260,639,18,102.43,4,4,,,,,,,,,,,
80.59,3165,2276,337,540,12,36.09,3,3,,,,,,,,,,,
86.7,2868,2279,282,296,11,44.69,3,5,,,,,,,,,,,
77.8,2703,1935,337,413,18,39.29,4,5,,,,,,,,,,,
85.2,2429,1867,282,259,21,8.54,5,4,,,,,,,,,,,
84.2,2155,1568,222,350,15,12.8,2,3,,,,,,,,,,,
81.2,2516,1623,248,640,5,66.7,2,5,,,,,,,,,,,
87.6,2951,2202,194,541,14,9.79,4,4,,,,,,,,,,,
83.42,2890,2277,333,264,16,15.84,1,3,,,,,,,,,,,
94,2580,1933,278,355,14,64.49,2,5,,,,,,,,,,,
90.56,2749,1865,218,645,21,27.48,2,4,,,,,,,,,,,
84,2380,1566,244,546,24,11.69,2,2,,,,,,,,,,,
80.2,2131,1621,190,302,18,6.96,3,5,,,,,,,,,,,
79.5481,2896,2200,257,419,20,106.81,4,4,,,,,,,,,,,
87.54,2813,2200,334,265,14,9.59,1,5,,,,,,,,,,,
87.4,2923,2275,279,356,13,16.33,2,3,,,,,,,,,,,
80.59,2816,1931,219,646,20,70.23,2,5,,,,,,,,,,,
95.5,2678,1863,245,547,23,8.32,2,5,,,,,,,,,,,
84.2,2790,2279,191,303,17,19.37,4,5,,,,,,,,,,,
85.2,2620,1935,258,420,7,68.02,5,4,,,,,,,,,,,
92.34,2430,1867,281,266,16,31.01,2,3,,,,,,,,,,,
84.9,2445,1568,221,642,14,108.31,5,2,,,,,,,,,,,
88,2434,1623,247,543,21,96.44,3,4,,,,,,,,,,,
82.4,2718,2202,193,299,24,143.54,2,3,,,,,,,,,,,
91.2,2966,2277,260,416,13,14.51,3,2,,,,,,,,,,,
89.2,2882,2280,337,262,3,63.16,4,4,,,,,,,,,,,
80.59,2583,1936,282,353,12,26.15,3,5,,,,,,,,,,,
83.4,2749,1868,222,643,16,10.36,3,4,,,,,,,,,,,
81,2371,1569,248,544,10,5.63,4,5,,,,,,,,,,,
88.38,2127,1624,194,300,9,105.48,1,4,,,,,,,,,,,
87.4,2897,2203,261,417,16,93.61,2,3,,,,,,,,,,,
77.21,2898,2278,338,263,19,140.71,2,5,,,,,,,,,,,
81,2584,1934,283,354,13,9.66,1,4,,,,,,,,,,,
80.76,2634,1866,223,542,3,5.16,2,3,,,,,,,,,,,
88,2157,1567,280,298,12,51.51,2,5,,,,,,,,,,,
84.9,2385,1622,334,415,14,6.16,2,5,,,,,,,,,,,
76.97,2753,2201,279,261,12,94.02,4,5,,,,,,,,,,,
83.46,2791,2201,219,352,19,65.9,3,4,,,,,,,,,,,
81.5,2961,2276,245,418,22,8.99,2,3,,,,,,,,,,,
79.4,2403,1932,191,264,16,15.04,2,3,,,,,,,,,,,
85.2,2196,1565,258,355,18,63.69,3,5,,,,,,,,,,,
80.2,2612,1620,335,645,12,26.68,5,4,,,,,,,,,,,
84.9,3099,2199,343,546,11,10.89,5,3,,,,,,,,,,,
82.4,2807,2199,288,302,18,6.16,4,3,,,,,,,,,,,
84.7,2942,2274,228,419,21,106.01,3,5,,,,,,,,,,,
88,2495,1930,285,265,15,8.79,2,4,,,,,,,,,,,
84,2758,1862,339,544,13,15.53,2,4,,,,,,,,,,,
83.7,2877,2278,284,300,15,69.43,3,5,,,,,,,,,,,
81.5,2588,1934,224,417,13,7.52,2,4,,,,,,,,,,,
82.3,2399,1866,250,263,20,18.57,3,3,,,,,,,,,,,
84.9,2140,1567,196,354,23,67.22,5,5,,,,,,,,,,,
77.8,2546,1622,263,644,17,30.21,2,5,,,,,,,,,,,
95.5,3105,2201,340,545,19,14.42,2,4,,,,,,,,,,,
80.76,2875,2276,285,301,13,9.69,2,4,,,,,,,,,,,
86.1,2929,2274,225,418,12,109.54,4,5,,,,,,,,,,,
89.2,2842,2277,282,264,19,97.67,3,5,,,,,,,,,,,
80.3,2817,1933,222,640,22,106.42,2,5,,,,,,,,,,,
85,2670,1865,248,541,16,9.2,2,5,,,,,,,,,,,
79.4,2412,1566,194,638,14,15.94,3,4,,,,,,,,,,,
90.2,2373,1621,195,539,18,69.84,2,3,,,,,,,,,,,
88.6,2773,2200,262,295,16,7.93,2,3,,,,,,,,,,,
80.59,3049,2275,339,412,23,18.98,2,5,,,,,,,,,,,
82.8,2499,1931,284,258,26,67.63,2,5,,,,,,,,,,,
85.46,2571,1863,339,349,20,30.62,4,5,,,,,,,,,,,
87.1,2509,1564,284,639,22,107.92,3,4,,,,,,,,,,,
84.9,2399,1619,224,540,16,96.05,2,3,,,,,,,,,,,
85.3,558,417,55,69,17,36.08,3,2,,,,,,,,,,,
87.5,565,392,77,77,19,30.31,3,3,,,,,,,,,,,
87.2,730,551,56,100,23,7.06,2,5,,,,,,,,,,,
91.2,810,595,78,120,17,15.9,2,5,,,,,,,,,,,
99.2,685,506,60,106,13,19.02,2,2,,,,,,,,,,,
87.2,853,603,73,152,25,124.25,2,3,,,,,,,,,,,
94.3,705,514,55,115,21,115.25,4,5,,,,,,,,,,,
90.1,821,612,46,137,26,120.56,3,4,,,,,,,,,,,
93.8,778,557,60,142,19,987.62,3,2,,,,,,,,,,,
95.8,804,588,63,136,17,997.31,2,5,,,,,,,,,,,
81.2,795,586,53,131,25,278.88,2,5,,,,,,,,,,,
86.4,775,560,75,115,25,92.94,4,4,,,,,,,,,,,
83.7,799,604,57,113,25,654.17,5,3,,,,,,,,,,,
97.43,707,515,48,119,25,35.54,3,5,,,,,,,,,,,
84.81,850,613,62,151,24,29.77,4,3,,,,,,,,,,,
85.6,757,558,65,110,24,6.52,1,5,,,,,,,,,,,
92.7,791,589,55,125,22,15.36,2,4,,,,,,,,,,,
90.3,566,419,57,73,17,18.48,2,3,,,,,,,,,,,
98.2,582,394,79,81,28,123.71,2,4,,,,,,,,,,,
95.1,730,553,58,104,15,114.71,4,2,,,,,,,,,,,
79.2,819,597,80,124,18,120.02,3,5,,,,,,,,,,,
88.6,705,508,62,110,25,678,2,4,,,,,,,,,,,
89.23,861,605,75,156,25,736,2,5,,,,,,,,,,,
89.5,717,516,57,119,25,278.34,3,5,,,,,,,,,,,
88.9,826,614,48,141,23,92.4,2,4,,,,,,,,,,,
78.6,786,559,62,146,19,653.63,3,3,,,,,,,,,,,
87.18,823,590,65,140,28,35,4,5,,,,,,,,,,,
84.21,806,588,55,135,28,29.23,3,3,,,,,,,,,,,
89.4,824,562,77,160,25,10,3,3,,,,,,,,,,,
88,807,606,59,114,28,14.82,2,4,,,,,,,,,,,
84.21,713,517,50,121,25,941,2,3,,,,,,,,,,,
87.18,842,615,64,135,28,178,4,4,,,,,,,,,,,
84.21,777,560,67,129,21,277.41,2,3,,,,,,,,,,,
89.1,822,591,76,133,22,91.47,4,5,,,,,,,,,,,
86.7,648,421,76,124,27,652.7,3,2,,,,,,,,,,,
83.4,580,396,58,112,14,34.07,2,2,,,,,,,,,,,
94.5,766,555,71,123,17,28.3,2,5,,,,,,,,,,,
91.6,819,599,53,146,21,8.1,3,2,,,,,,,,,,,
97.1,675,510,44,108,13,13.89,5,3,,,,,,,,,,,
95.6,810,607,58,135,10,17.01,3,5,,,,,,,,,,,
82.39,677,518,61,75,23,122.24,4,2,,,,,,,,,,,
99,760,616,51,74,19,113.24,3,2,,,,,,,,,,,
94.7,808,561,73,153,21,118.55,3,3,,,,,,,,,,,
96.7,757,592,55,95,15,676.53,4,5,,,,,,,,,,,
91,778,590,46,130,12,734.53,1,4,,,,,,,,,,,
82.39,782,564,60,135,23,276.87,2,5,,,,,,,,,,,
85.5,815,608,63,121,23,90.93,2,4,,,,,,,,,,,
81.7,729,519,53,135,22,652.16,3,3,,,,,,,,,,,
87.4,860,617,55,167,21,279.12,4,5,,,,,,,,,,,
82.81,772,562,77,111,22,93.18,3,2,,,,,,,,,,,
81.1,800,593,56,123,28,654.41,5,4,,,,,,,,,,,
84.7,740,514,78,128,20,35.78,4,2,,,,,,,,,,,
81.47,817,612,60,125,20,30.01,1,4,,,,,,,,,,,
79.37,785,557,73,130,25,6.76,2,3,,,,,,,,,,,
82.81,767,588,55,106,18,15.6,2,4,,,,,,,,,,,
79.37,760,586,46,103,25,18.72,4,2,,,,,,,,,,,
84.4,802,560,60,156,26,123.95,5,3,,,,,,,,,,,
82.21,799,604,63,109,23,114.95,2,2,,,,,,,,,,,
97,722,515,53,131,23,120.26,2,5,,,,,,,,,,,
97,847,613,75,136,23,457,2,2,,,,,,,,,,,
91.7,769,558,57,130,24,736.24,3,3,,,,,,,,,,,
85.18,782,589,48,125,20,278.58,4,3,,,,,,,,,,,
81.7,606,419,62,109,16,92.64,1,4,,,,,,,,,,,
85.2,592,394,65,107,26,653.87,2,5,,,,,,,,,,,
97.1,753,553,74,113,13,35.24,2,4,,,,,,,,,,,
77,842,597,74,145,26,29.47,2,3,,,,,,,,,,,
85.18,696,508,56,105,27,10.24,4,2,,,,,,,,,,,
82.21,840,605,69,137,29,15.06,3,5,,,,,,,,,,,
90.29,663,516,51,70,26,197,2,4,,,,,,,,,,,
86.59,747,614,42,73,18,203,2,2,,,,,,,,,,,
82.39,739,559,56,106,18,277.65,3,5,,,,,,,,,,,
95.7,788,590,59,114,25,91.71,4,5,,,,,,,,,,,
82.21,786,588,49,120,29,652.94,3,5,,,,,,,,,,,
87.1,845,585,71,164,25,34.31,3,4,,,,,,,,,,,
92.1,772,583,53,110,26,28.54,4,5,,,,,,,,,,,
82.21,755,557,44,131,23,8.34,3,4,,,,,,,,,,,
87.4,839,601,58,156,24,14.13,5,3,,,,,,,,,,,
86,734,512,61,140,21,17.25,1,1,,,,,,,,,,,
91,824,610,51,145,18,122.48,2,5,,,,,,,,,,,
97,791,555,53,157,26,113.48,2,1,,,,,,,,,,,
83.4,789,586,75,114,14,118.79,5,4,,,,,,,,,,,
82.4,612,416,54,126,16,185,4,4,,,,,,,,,,,
84.6,625,391,76,138,20,234,3,5,,,,,,,,,,,
90,736,550,58,114,14,277.11,2,5,,,,,,,,,,,
97.1,786,594,71,111,10,91.17,2,4,,,,,,,,,,,
85,704,505,53,122,24,652.4,5,3,,,,,,,,,,,
92.3,808,602,44,143,19,279.36,2,5,,,,,,,,,,,
89.6,719,513,58,125,23,93.42,3,5,,,,,,,,,,,
92.5,830,611,61,142,16,654.65,4,5,,,,,,,,,,,
94.6,703,556,51,79,17,36.02,3,4,,,,,,,,,,,
80.1,772,587,73,88,24,30.25,3,3,,,,,,,,,,,
84.5,811,608,55,123,25,7,4,3,,,,,,,,,,,
80,744,553,46,123,22,15.84,1,4,,,,,,,,,,,
91.08,785,584,60,119,22,18.96,2,2,,,,,,,,,,,
82.18,830,582,63,163,22,124.19,2,4,,,,,,,,,,,
82.3,771,556,72,120,23,115.19,4,5,,,,,,,,,,,
91.3,823,600,72,132,19,120.5,1,1,,,,,,,,,,,
89.6,722,511,54,142,15,224,2,5,,,,,,,,,,,
96.7,836,609,67,135,25,487,5,4,,,,,,,,,,,
93.7,763,554,49,147,13,278.82,2,5,,,,,,,,,,,
76.9,792,585,40,148,19,92.88,3,5,,,,,,,,,,,
84.9,592,415,54,99,24,654.11,4,4,,,,,,,,,,,
83.15,601,390,57,135,19,35.48,3,3,,,,,,,,,,,
86.5,708,549,47,90,22,29.71,3,5,,,,,,,,,,,
87.2,760,593,69,80,18,10.48,4,5,,,,,,,,,,,
76.93,737,504,51,159,23,15.3,5,4,,,,,,,,,,,
83.53,762,601,42,103,16,554,2,3,,,,,,,,,,,
82.6,700,512,56,118,14,647,2,5,,,,,,,,,,,
84.63,823,610,59,133,21,277.89,4,4,,,,,,,,,,,
86.7,748,555,49,122,22,91.95,1,3,,,,,,,,,,,
82.5,782,586,51,126,19,653.18,2,5,,,,,,,,,,,
83.53,635,398,73,148,16,34.55,2,4,,,,,,,,,,,
82.6,736,557,52,101,26,28.78,2,2,,,,,,,,,,,
86.8,823,601,74,123,25,8.58,3,5,,,,,,,,,,,
84.9,746,512,56,152,26,14.37,4,4,,,,,,,,,,,
82.6,820,609,69,111,31,17.49,1,5,,,,,,,,,,,
92.7,730,520,51,133,26,122.72,2,3,,,,,,,,,,,
89.4,771,618,42,81,30,113.72,2,5,,,,,,,,,,,
96.2,723,563,56,81,23,119.03,2,5,,,,,,,,,,,
93.4,778,594,59,101,24,147,4,5,,,,,,,,,,,
79.93,780,592,49,110,29,478,5,4,,,,,,,,,,,
98,786,589,71,107,19,277.35,2,3,,,,,,,,,,,
90.3,818,587,53,161,17,91.41,5,2,,,,,,,,,,,
95,731,561,44,103,23,652.64,5,2,,,,,,,,,,,
90,796,605,58,118,15,279.6,2,5,,,,,,,,,,,
79.93,731,516,61,141,13,93.66,2,4,,,,,,,,,,,
80.4,845,614,70,133,28,654.89,3,5,,,,,,,,,,,
78,802,559,70,148,25,36.26,2,5,,,,,,,,,,,
82.63,830,590,52,160,28,30.49,3,4,,,,,,,,,,,
